id,place,time,so2,no2,pm10,pm2_5
646,1,10/17/12 0:00,0.011,0.079,0.121,0.076
649,2,10/17/12 0:00,0.003,0.052,0.103,0.066
652,3,10/17/12 0:00,0.017,0.076,0.088,0.055
655,4,10/17/12 0:00,0.011,0.065,0.103,0.078
658,5,10/17/12 0:00,0.016,0.082,0.153,0.082
661,6,10/17/12 0:00,0.021,0.079,0.103,0.065
664,7,10/17/12 0:00,0.012,0.066,0.15,0.072
667,8,10/17/12 0:00,0.005,0.037,0.09,0.034
670,9,10/17/12 0:00,0.005,0.048,0.062,0.02
673,10,10/17/12 0:00,0.007,0.078,0.148,0.077
676,11,10/17/12 0:00,0.005,0.057,0.107,0.047
679,12,10/17/12 0:00,0.008,0.063,0.124,0.051
682,13,10/17/12 0:00,0.026,0.067,0.139,0.111
685,15,10/17/12 0:00,0.014,0.069,0.134,0.069
688,16,10/17/12 0:00,0.054,0.082,0.088,0.044
691,18,10/17/12 0:00,0.008,0.023,0.029,0.018
694,19,10/17/12 0:00,0.003,0.031,0.033,0.019
697,20,10/17/12 0:00,0.027,0.071,0.11,0.065
700,21,10/17/12 0:00,0.012,0.075,0.085,0.064
703,22,10/17/12 0:00,0.003,0.034,0.059,0.032
706,24,10/17/12 0:00,0.007,0.07,0.069,0.044
709,25,10/17/12 0:00,0.003,0.01,0.021,0.013
712,26,10/17/12 0:00,0.006,0.042,0.067,0.035
715,27,10/17/12 0:00,0.005,0.06,0.017,0.013
718,17,10/17/12 0:00,0.006,0.064,0.133,0.064
1019,23,10/17/12 0:00,0.003,0.016,0.025,0.016
647,1,10/17/12 1:00,0.003,0.016,0.012,0.005
650,2,10/17/12 1:00,0.003,0.017,0.014,0.004
653,3,10/17/12 1:00,0.003,0.016,0.013,0.006
656,4,10/17/12 1:00,0.003,0.013,0.01,0.008
659,5,10/17/12 1:00,0.006,0.015,0.005,0.003
662,6,10/17/12 1:00,0.003,0.021,0.011,0.003
665,7,10/17/12 1:00,0.003,0.014,0.012,0.003
668,8,10/17/12 1:00,0.003,0.002,0.011,0.005
671,9,10/17/12 1:00,0.003,0.002,0.006,0.004
674,10,10/17/12 1:00,0.003,0.034,0.005,0.003
677,11,10/17/12 1:00,0.003,0.004,0.01,0.003
680,12,10/17/12 1:00,0.007,0.025,0.018,0.008
683,13,10/17/12 1:00,0.003,0.018,0.013,0.003
686,15,10/17/12 1:00,0.003,0.015,0.019,0.004
689,16,10/17/12 1:00,0.004,0.045,0.014,0.01
692,18,10/17/12 1:00,0.005,0.002,0.005,0.003
695,19,10/17/12 1:00,0.003,0.011,0.007,0.005
698,20,10/17/12 1:00,0.003,0.024,0.014,0.003
701,21,10/17/12 1:00,0.003,0.026,0.015,0.006
704,22,10/17/12 1:00,0.003,0.004,0.005,0.003
707,24,10/17/12 1:00,0.003,0.027,0.006,0.003
710,25,10/17/12 1:00,0.003,0.002,0.005,0.003
713,26,10/17/12 1:00,0.005,0.009,0.005,0.003
