time,value
10/17/12 1:00,0.037
10/17/12 2:00,0.028
10/17/12 4:00,0.008
10/17/12 5:00,0.019
10/17/12 6:00,0.008
10/17/12 7:00,0.004
10/17/12 8:00,0.004
10/17/12 9:00,0.008
10/17/12 10:00,0.018
10/17/12 11:00,0.025
10/17/12 12:00,0.038
10/17/12 13:00,0.049
10/17/12 14:00,0.054
10/17/12 15:00,0.055
10/17/12 16:00,0.052
10/17/12 17:00,0.051
10/17/12 18:00,0.037
10/17/12 19:00,0.012
10/17/12 20:00,0.007
10/17/12 21:00,0.006
10/17/12 22:00,0.006
10/17/12 23:00,0.005
10/18/12 1:00,0.004
10/18/12 2:00,0.004
10/18/12 4:00,0.004
10/18/12 5:00,0.004
10/18/12 6:00,0.004
10/18/12 7:00,0.004
10/18/12 8:00,0.004
10/18/12 9:00,0.007
10/18/12 10:00,0.008
10/18/12 11:00,0.014
10/18/12 12:00,0.022
10/18/12 13:00,0.033
10/18/12 14:00,0.043
10/18/12 15:00,0.048
10/18/12 16:00,0.046
10/18/12 17:00,0.033
10/18/12 18:00,0.005
10/18/12 19:00,0.006
10/18/12 20:00,0.01
10/18/12 21:00,0.01
10/18/12 22:00,0.01
10/18/12 23:00,0.01
10/19/12 1:00,0.006
10/19/12 2:00,0.004
10/19/12 4:00,0.004
10/19/12 5:00,0.004
10/19/12 6:00,0.004
10/19/12 7:00,0.004
10/19/12 8:00,0.004
10/19/12 9:00,0.004
10/19/12 10:00,0.009
10/19/12 11:00,0.017
10/19/12 12:00,0.029
10/19/12 13:00,0.04
10/19/12 14:00,0.062
10/19/12 15:00,0.066
10/19/12 16:00,0.084
10/19/12 17:00,0.083
10/19/12 18:00,0.047
10/19/12 19:00,0.022
10/19/12 20:00,0.021
10/19/12 21:00,0.027
10/19/12 22:00,0.023
10/19/12 23:00,0.019
10/20/12 1:00,0.015
10/20/12 2:00,0.014
10/20/12 4:00,0.008
10/20/12 5:00,0.014
10/20/12 6:00,0.012
10/20/12 7:00,0.013
10/20/12 8:00,0.016
10/20/12 9:00,0.02
10/20/12 10:00,0.028
10/20/12 11:00,0.053
10/20/12 12:00,0.077
10/20/12 13:00,0.095
10/20/12 14:00,0.099
10/20/12 15:00,0.117
10/20/12 16:00,0.117
10/20/12 17:00,0.099
10/20/12 18:00,0.116
10/20/12 19:00,0.111
10/20/12 20:00,0.08
10/20/12 21:00,0.051
10/20/12 22:00,0.043
10/20/12 23:00,0.049
10/21/12 1:00,0.041
10/21/12 2:00,0.035
10/21/12 4:00,0.006
10/21/12 5:00,0.007
10/21/12 6:00,0.011
10/21/12 7:00,0.016
10/21/12 8:00,0.013
10/21/12 9:00,0.011
10/21/12 10:00,0.007
10/21/12 11:00,0.004
10/21/12 12:00,0.006
10/21/12 13:00,0.005
10/21/12 14:00,0.004
10/21/12 15:00,0.004
10/21/12 16:00,0.004
10/21/12 17:00,0.004
10/21/12 18:00,0.004
10/21/12 19:00,0.004
